293.15,1.0 atm,TRUE,998.204,1.0,44.203,1.0,3.541,-3.860,-0.021,2.068,1.0,45.892,1.0,18.015,1.0,-5.921,-2.277,80.223,1.0
298.15,1.0 atm,TRUE,997.045,1.0,43.989,1.0,3.542,-3.813,-0.025,2.572,1.0,45.247,1.0,18.002,1.0,-5.917,-2.231,78.409,1.0
301.15,1.0 atm,TRUE,996.234,1.0,43.861,1.0,3.542,-3.785,-0.028,2.853,1.0,44.943,1.0,17.998,1.0,-5.914,-2.203,77.339,1.0
305.15,1.0 atm,TRUE,995.026,1.0,43.689,1.0,3.542,-3.749,-0.032,3.206,1.0,44.622,1.0,17.995,1.0,-5.910,-2.168,75.935,1.0
309.15,1.0 atm,TRUE,993.684,1.0,43.517,1.0,3.542,-3.713,-0.037,3.539,1.0,44.390,1.0,17.995,1.0,-5.906,-2.133,74.556,1.0
313.15,1.0 atm,TRUE,992.216,1.0,43.345,1.0,3.542,-3.677,-0.043,3.853,1.0,44.239,1.0,17.996,1.0,-5.902,-2.098,73.200,1.0
317.15,1.0 atm,TRUE,990.628,1.0,43.172,1.0,3.542,-3.642,-0.049,4.152,1.0,44.162,1.0,17.999,1.0,-5.898,-2.064,71.869,1.0
321.15,1.0 atm,TRUE,988.927,1.0,42.999,1.0,3.542,-3.608,-0.056,4.438,1.0,44.153,1.0,18.002,1.0,-5.893,-2.031,70.560,1.0
325.15,1.0 atm,TRUE,987.119,1.0,42.826,1.0,3.543,-3.574,-0.064,4.712,1.0,44.209,1.0,18.006,1.0,-5.889,-1.999,69.275,1.0
329.15,1.0 atm,TRUE,985.208,1.0,42.652,1.0,3.543,-3.541,-0.072,4.975,1.0,44.324,1.0,18.011,1.0,-5.884,-1.967,68.012,1.0
333.15,1.0 atm,TRUE,983.199,1.0,42.476,1.0,3.543,-3.509,-0.081,5.231,1.0,44.496,1.0,18.018,1.0,-5.879,-1.936,66.772,1.0
337.15,1.0 atm,TRUE,981.095,1.0,42.300,1.0,3.543,-3.476,-0.091,5.478,1.0,44.723,1.0,18.026,1.0,-5.873,-1.905,65.555,1.0
341.15,1.0 atm,TRUE,978.900,1.0,42.123,1.0,3.544,-3.445,-0.103,5.719,1.0,45.003,1.0,18.035,1.0,-5.868,-1.875,64.359,1.0
