3.0                7.508     11.428     9.486    10.204    10.479
3.2                0.381      2.029     0.041     0.198     0.252
3.4               -3.069     -1.530    -3.332    -3.366    -3.382
3.6               -4.340     -2.668    -4.224    -4.305    -4.332
3.8               -4.448     -2.813    -4.132    -4.207    -4.226
4.0               -4.050     -2.588    -3.699    -3.753    -3.760
4.2               -3.441     -2.254    -3.191    -3.223    -3.219
4.4               -2.843     -1.916    -2.709    -2.722    -2.710
4.6               -2.346     -1.614    -2.288    -2.286    -2.268
4.8               -1.935     -1.356    -1.933    -1.920    -1.899
5.0               -1.609     -1.141    -1.638    -1.618    -1.595
5.2               -1.332     -0.963    -1.394    -1.370    -1.346
5.4               -1.100     -0.818    -1.194    -1.167    -1.142
5.6               -0.914     -0.698    -1.028    -0.999    -0.975
5.8               -0.767     -0.600    -0.891    -0.861    -0.838
6.0               -0.646     -0.518    -0.776    -0.747    -0.725
6.2               -0.543     -0.450    -0.680    -0.651    -0.630
6.4               -0.460     -0.393    -0.599    -0.571    -0.552
6.6               -0.397     -0.345    -0.530    -0.504    -0.485
6.8               -0.345     -0.305    -0.472    -0.446    -0.429
7.0               -0.302     -0.271    -0.422    -0.397    -0.381
7.2               -0.264     -0.241    -0.379    -0.355    -0.340
7.4               -0.234     -0.216    -0.341    -0.319    -0.305
7.6               -0.208     -0.194    -0.309    -0.288    -0.274
7.8               -0.186     -0.175    -0.280    -0.261    -0.248
8.0               -0.167     -0.159    -0.255    -0.237    -0.225
8.2               -0.150     -0.144    -0.233    -0.216    -0.204
8.4               -0.135     -0.132    -0.214    -0.197    -0.187
8.6               -0.123     -0.120    -0.196    -0.181    -0.171
8.8               -0.112     -0.111    -0.181    -0.166    -0.157
9.0               -0.102     -0.102    -0.167    -0.153    -0.145
