#omega	chi1	phi1	E (kcal/mol)
180	75	30	8.435440962
180	75	240	3.851413671
180	75	300	3.329633035
180	75	330	7.070150806
180	75	360	10.79378607
180	90	0	11.6597761
180	90	30	9.772479408
180	90	60	3.787602281
180	90	300	4.715104509
180	90	330	8.400851411
180	90	360	11.6597761
180	105	0	12.43771595
180	105	30	11.05344993
180	105	60	4.878848589
180	105	300	6.519682341
180	105	330	9.88798499
180	105	360	12.43771595
180	120	0	13.49135941
180	120	30	11.73657003
180	120	60	5.565655307
180	120	90	4.202370042
180	120	300	7.426112188
180	120	330	11.28729366
180	120	360	13.49135941
180	135	0	14.66507547
180	135	30	12.41582468
180	135	60	5.996369955
180	135	90	5.341876185
180	135	300	7.99692575
180	135	330	12.82719824
180	135	360	14.66507547
180	150	0	15.94401913
180	150	30	13.19753083
180	150	60	6.676312979
180	150	90	6.452097739
180	150	300	8.799236795
180	150	330	14.38930534
180	150	360	15.94401913
180	165	0	17.29406458
180	165	30	14.40166852
180	165	60	7.770996782
180	165	90	7.181177228
180	165	210	25.68727482
180	165	300	7.166459004
180	165	330	14.63259685
180	165	360	17.29406458
180	180	0	15.33043455
180	180	30	12.323429
180	180	60	7.805025968
180	180	90	6.231609901
180	180	300	4.301586745
180	180	330	10.29779041
180	180	360	15.33043455
180	195	0	12.05038289
180	195	30	9.354196969
180	195	60	4.365041083
180	195	90	3.635799069
180	195	180	16.83956295
180	195	210	11.95279771
180	195	300	2.702385079
180	195	330	6.766983637
180	195	360	12.05038289
180	210	0	9.269967064
180	210	30	6.995627837
180	210	60	2.005269643
180	210	90	2.388164967
180	210	120	5.618207304
180	210	180	7.759603729
180	210	240	3.199729887
180	210	270	1.532245201
180	210	300	0.996137279
180	210	330	5.135961617
180	210	360	9.269967064
180	225	0	8.190506002
180	225	30	5.553400684
180	225	60	1.59680772
180	225	90	2.702083247
180	225	120	6.477597822
180	225	150	10.43788619
180	225	180	7.038988709
180	225	240	2.649237576
180	225	300	0.393502736
180	225	330	4.981209113
180	225	360	8.190506002
180	240	0	7.949936621
180	240	30	4.719010125
180	240	60	1.977147827
180	240	120	7.143272547
180	240	150	10.0589404
180	240	180	8.166208853
180	240	240	3.01238833
180	240	270	0.714512495
180	240	300	0.652433657
180	240	330	5.531712718
180	240	360	7.949936621
180	255	0	7.892545276
180	255	120	7.246381061
180	255	150	8.174750506
180	255	180	9.81704196
180	255	240	3.486953934
180	255	270	0.796211657
180	255	300	1.384692735
180	255	330	6.167915228
180	255	360	7.892545276
180	270	0	9.807931157
180	270	120	5.573182278
180	270	150	7.238626304
180	270	180	11.24732385
180	270	300	1.393076255
180	270	330	7.000432673
180	270	360	9.807931157
180	285	0	7.646118726
180	285	180	13.29191195
180	285	270	1.010106257
180	285	330	7.529051275
180	285	360	7.646118726
180	300	0	12.11573418
180	300	180	15.2354755
180	300	300	4.250959319
180	300	360	12.11573418
