Scd1_idx	Scd1	Scd2_idx	Scd2
C15		C34	
C17	0.181121	C36	0.181121
C18	0.180807	C37	0.180807
C19	0.181055	C38	0.181055
C20	0.180741	C39	0.180741
C21	0.180989	C40	0.180989
C22	0.168579	C41	0.168579
C23	0.169109	C42	0.169109
C24	0.149104	C43	0.149104
C25	0.138945	C44	0.138945
C26	0.123439	C45	0.138629
C27	0.112717	C46	0.123968
C28	0.098056	C47	0.112121
C29	0.083396	C48	0.089303
C30	0.062266	C49	0.070424
C31		C50	
